ship,type,cost,has_cost,url
Armored Interface Craft-4,Dropship,,No,https://starwars.fandom.com/wiki/Armored_Interface_Craft-4
Arquitens-class command cruiser,Light cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Arquitens-class_command_cruiser
Arquitens-class light cruiser,Light cruiser,4000000,Yes,https://starwars.fandom.com/wiki/Arquitens-class_light_cruiser
Assault corvette,,,No,https://starwars.fandom.com/wiki/Assault_corvette
Assault Transport (Empire),Transport,,No,https://starwars.fandom.com/wiki/Assault_Transport_(Empire)
Assertor-class Star Dreadnought,Star Dreadnought Battlecruiser,1100000000,Yes,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought
Assertor-class Star Dreadnought/Legends,Star Dreadnought,1100000000,Yes,https://starwars.fandom.com/wiki/Assertor-class_Star_Dreadnought/Legends
Auto-fighter,Drone starfighter,,No,https://starwars.fandom.com/wiki/Auto-fighter
Bayonet-class light cruiser,Light cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Bayonet-class_light_cruiser
Belbullab-22 starfighter/Legends,Starfighter,168000,Yes,https://starwars.fandom.com/wiki/Belbullab-22_starfighter/Legends
Belbullab-24 strike bomber,Starfighter,168000,Yes,https://starwars.fandom.com/wiki/Belbullab-24_strike_bomber
Bellator-class dreadnought,Dreadnought,,No,https://starwars.fandom.com/wiki/Bellator-class_dreadnought
Bellator-class dreadnought/Legends,Dreadnought,,No,https://starwars.fandom.com/wiki/Bellator-class_dreadnought/Legends
Beta-class assault shuttle,Assault shuttle,,No,https://starwars.fandom.com/wiki/Beta-class_assault_shuttle
Beta-class ETR-3 escort transport,Transport,,No,https://starwars.fandom.com/wiki/Beta-class_ETR-3_escort_transport
BFF-1 bulk freighter/Legends,Medium-sized freighter,,No,https://starwars.fandom.com/wiki/BFF-1_bulk_freighter/Legends
Bot-drone,Dronearget Vader 3,,No,https://starwars.fandom.com/wiki/Bot-drone
Broadside-class cruiser kdb-1,Corvette,,No,https://starwars.fandom.com/wiki/Broadside-class_cruiser_kdb-1
Builder shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/Builder_shuttle
Burst Fire-class Deep-Space Patrol Vessel,,,No,https://starwars.fandom.com/wiki/Burst_Fire-class_Deep-Space_Patrol_Vessel
Bus pod,Shuttle,,No,https://starwars.fandom.com/wiki/Bus_pod
C-3 passenger liner,Transport,,No,https://starwars.fandom.com/wiki/C-3_passenger_liner
Cantwell-class Arrestor Cruiser,Arrestor cruiser Patrol and detainment cruiser,2200000,Yes,https://starwars.fandom.com/wiki/Cantwell-class_Arrestor_Cruiser
Cargo shuttle,,,No,https://starwars.fandom.com/wiki/Cargo_shuttle
Cargo tanker,Cargo haulage,,No,https://starwars.fandom.com/wiki/Cargo_tanker
Carillion ship,,,No,https://starwars.fandom.com/wiki/Carillion_ship
Carrack-A,Light cruiser,,No,https://starwars.fandom.com/wiki/Carrack-A
Carrack-class light cruiser,Light cruiser,,No,https://starwars.fandom.com/wiki/Carrack-class_light_cruiser
Carrack-class light cruiser/Legends,Frigate,,No,https://starwars.fandom.com/wiki/Carrack-class_light_cruiser/Legends
CC-7700 frigate,Frigate,,No,https://starwars.fandom.com/wiki/CC-7700_frigate
CCR-class pinnace,Pinnace,,No,https://starwars.fandom.com/wiki/CCR-class_pinnace
Centurion-class battlecruiser,Battlecruiser,,No,https://starwars.fandom.com/wiki/Centurion-class_battlecruiser
Class four container transport,Bulk freighter,,No,https://starwars.fandom.com/wiki/Class_four_container_transport
Class-6 escape pod/Legends,Escape pod,,No,https://starwars.fandom.com/wiki/Class-6_escape_pod/Legends
Clone impound vessel,Impounding,,No,https://starwars.fandom.com/wiki/Clone_impound_vessel
Combat utility vehicle,Combat service support,,No,https://starwars.fandom.com/wiki/Combat_utility_vehicle
Concealer-class Prison Ship,Transport,,No,https://starwars.fandom.com/wiki/Concealer-class_Prison_Ship
Continent-class crawler,Crawler,,No,https://starwars.fandom.com/wiki/Continent-class_crawler
Corvette-class patrol boat,,,No,https://starwars.fandom.com/wiki/Corvette-class_patrol_boat
Cosinga-class Heavy Corvette,Heavy Corvette,,No,https://starwars.fandom.com/wiki/Cosinga-class_Heavy_Corvette
CR70 corvette/Legends,Corvette,2900000,Yes,https://starwars.fandom.com/wiki/CR70_corvette/Legends
CR90 corvette,Corvette,1200000,Yes,https://starwars.fandom.com/wiki/CR90_corvette
CR90 corvette/Legends,Corvette,3500000,Yes,https://starwars.fandom.com/wiki/CR90_corvette/Legends
CR92a Assassin-class corvette,Corvette,2500000,Yes,https://starwars.fandom.com/wiki/CR92a_Assassin-class_corvette
Cruisemissile assault craft,Ground assault,,No,https://starwars.fandom.com/wiki/Cruisemissile_assault_craft
Curich-class shuttle,Transport,130000,Yes,https://starwars.fandom.com/wiki/Curich-class_shuttle
CX Dagger vessel,Transport,,No,https://starwars.fandom.com/wiki/CX_Dagger_vessel
D-Wing Space Superiority Fighter,Starfighter,,No,https://starwars.fandom.com/wiki/D-Wing_Space_Superiority_Fighter
Dark Trooper hyperspace capsule,,,No,https://starwars.fandom.com/wiki/Dark_Trooper_hyperspace_capsule
Delta-class DX-9 stormtrooper transport,Assault starfighter / gunboat Transport,,No,https://starwars.fandom.com/wiki/Delta-class_DX-9_stormtrooper_transport
Delta-class JV-7 escort shuttle,Heavily armed escort shuttle,,No,https://starwars.fandom.com/wiki/Delta-class_JV-7_escort_shuttle
Delta-class shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/Delta-class_shuttle
Delta-class stormtrooper transport,Transport,,No,https://starwars.fandom.com/wiki/Delta-class_stormtrooper_transport
Delta-class T-3c shuttle,Shuttle,160000,Yes,https://starwars.fandom.com/wiki/Delta-class_T-3c_shuttle
Detainer CC-2200,Cruiser,,No,https://starwars.fandom.com/wiki/Detainer_CC-2200
Detainer CC-2200/Legends,Interdictor ship,,No,https://starwars.fandom.com/wiki/Detainer_CC-2200/Legends
DP20 gunship,Frigate,3200000,Yes,https://starwars.fandom.com/wiki/DP20_gunship
DP20 gunship/Legends,Frigate Corvette,4800000,Yes,https://starwars.fandom.com/wiki/DP20_gunship/Legends
Dragon-class Heavy Cruiser,Heavy cruiser,,No,https://starwars.fandom.com/wiki/Dragon-class_Heavy_Cruiser
Dreadnaught-class heavy cruiser/Legends,Heavy cruiser,7200000,Yes,https://starwars.fandom.com/wiki/Dreadnaught-class_heavy_cruiser/Legends
Dreadnought-class heavy cruiser,Heavy cruiser,7200000,Yes,https://starwars.fandom.com/wiki/Dreadnought-class_heavy_cruiser
Drone freighter,Freighter,,No,https://starwars.fandom.com/wiki/Drone_freighter
Drop-sled,,,No,https://starwars.fandom.com/wiki/Drop-sled
E-2T medical shuttle,Medical shuttle,,No,https://starwars.fandom.com/wiki/E-2T_medical_shuttle
Eclipse-class dreadnought,Star Dreadnought,,No,https://starwars.fandom.com/wiki/Eclipse-class_dreadnought
EF76 Nebulon-B escort frigate,Frigate,8500000,Yes,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate
EF76 Nebulon-B escort frigate/Legends,Frigate,8500000,Yes,https://starwars.fandom.com/wiki/EF76_Nebulon-B_escort_frigate/Legends
Epsilon-class shuttle,,,No,https://starwars.fandom.com/wiki/Epsilon-class_shuttle
Eta-class supply barge,Supply ship,750000,Yes,https://starwars.fandom.com/wiki/Eta-class_supply_barge
Evakmar-KDY transport,Transport,,No,https://starwars.fandom.com/wiki/Evakmar-KDY_transport
Executor I-class Star Dreadnought,Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor_I-class_Star_Dreadnought
Executor II-class Star Dreadnought,Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor_II-class_Star_Dreadnought
Executor-class Star Dreadnought,Star Dreadnought-classed Star Destroyer,,No,https://starwars.fandom.com/wiki/Executor-class_Star_Dreadnought
Executor-class Star Dreadnought/Legends,Star Dreadnought,,No,https://starwars.fandom.com/wiki/Executor-class_Star_Dreadnought/Legends
"F7 ""Landing Brick"" Drop-Ship",Medium transport,,No,"https://starwars.fandom.com/wiki/F7_""Landing_Brick""_Drop-Ship"
Far*Reach IV PQR,Survey vessel,,No,https://starwars.fandom.com/wiki/Far*Reach_IV_PQR
Field Secured Container Vessel,Tanker tug,,No,https://starwars.fandom.com/wiki/Field_Secured_Container_Vessel
Field Secured Container Vessel/Legends,Massive transport vessel,,No,https://starwars.fandom.com/wiki/Field_Secured_Container_Vessel/Legends
FireStar II-class Orbital Defense Platform,Battle station,8500000,Yes,https://starwars.fandom.com/wiki/FireStar_II-class_Orbital_Defense_Platform
Freighter Type H,Medium freighter,,No,https://starwars.fandom.com/wiki/Freighter_Type_H
Freighter Type K,Medium freighter,,No,https://starwars.fandom.com/wiki/Freighter_Type_K
Galleon (Starship class),Galleon,,No,https://starwars.fandom.com/wiki/Galleon_(Starship_class)
Gamma-class assault shuttle,Assault shuttle,,No,https://starwars.fandom.com/wiki/Gamma-class_assault_shuttle
Gamma-class assault shuttle/Legends,Assault shuttle,850000,Yes,https://starwars.fandom.com/wiki/Gamma-class_assault_shuttle/Legends
Gamma-class ATR-6 assault transport,Heavy assault transport,,No,https://starwars.fandom.com/wiki/Gamma-class_ATR-6_assault_transport
Gamma-class Light Personnel Carrier,Transport and supply shuttle,,No,https://starwars.fandom.com/wiki/Gamma-class_Light_Personnel_Carrier
GAT-12 Skipray Blastboat,Heavy starfighter,285000,Yes,https://starwars.fandom.com/wiki/GAT-12_Skipray_Blastboat
Gladiator I,Escort frigate-classed Star Destroyer,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator_I
Gladiator I-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Gladiator_I-class_Star_Destroyer
Gladiator II-class Star Destroyer,Gladiator II-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Gladiator_II-class_Star_Destroyer
Gladiator-class Star Destroyer,Escort frigate-classed Star Destroyer,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer
Gladiator-class Star Destroyer/Legends,Star Destroyer,34000000,Yes,https://starwars.fandom.com/wiki/Gladiator-class_Star_Destroyer/Legends
Gozanti-class Assault Carrier,Transport,,No,https://starwars.fandom.com/wiki/Gozanti-class_Assault_Carrier
Gozanti-class cruiser,Light cruiser,200000,Yes,https://starwars.fandom.com/wiki/Gozanti-class_cruiser
GR-75 medium transport/Legends,Medium transport,350000,Yes,https://starwars.fandom.com/wiki/GR-75_medium_transport/Legends
Grek-class troop shuttle/Legends,Armored shuttle,40000,Yes,https://starwars.fandom.com/wiki/Grek-class_troop_shuttle/Legends
Guardian 334-class light cruiser,Light cruiser,,No,https://starwars.fandom.com/wiki/Guardian_334-class_light_cruiser
Guardian-class light cruiser,Light cruiser,,No,https://starwars.fandom.com/wiki/Guardian-class_light_cruiser
H-10,Troop transport,,No,https://starwars.fandom.com/wiki/H-10
Harbinger courier ship,Courierhrawn,,No,https://starwars.fandom.com/wiki/Harbinger_courier_ship
Harbinger courier ship/Legends,Courier,,No,https://starwars.fandom.com/wiki/Harbinger_courier_ship/Legends
Hauler-2 cargo tug,,,No,https://starwars.fandom.com/wiki/Hauler-2_cargo_tug
High-Altitude Entry Transport-221,Dropship,,No,https://starwars.fandom.com/wiki/High-Altitude_Entry_Transport-221
Hunter destroyer,,,No,https://starwars.fandom.com/wiki/Hunter_destroyer
I-7 Howlrunner,Starfighter,165000,Yes,https://starwars.fandom.com/wiki/I-7_Howlrunner
IF-120 landing craft,Landing craft,290000,Yes,https://starwars.fandom.com/wiki/IF-120_landing_craft
IGV-55 surveillance vessel,Surveillance vessel,,No,https://starwars.fandom.com/wiki/IGV-55_surveillance_vessel
Immobilizer 418 cruiser,Cruiser,,No,https://starwars.fandom.com/wiki/Immobilizer_418_cruiser
Immobilizer 418 Interdictor-class Heavy Cruiser,Cruiser,52240000,Yes,https://starwars.fandom.com/wiki/Immobilizer_418_Interdictor-class_Heavy_Cruiser
Imperator-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperator-class_Star_Destroyer
Imperial Action transport,Transport,,No,https://starwars.fandom.com/wiki/Imperial_Action_transport
Imperial Armored Transport,Transport,240000,Yes,https://starwars.fandom.com/wiki/Imperial_Armored_Transport
Imperial Assault Shuttle,Assault shuttle,,No,https://starwars.fandom.com/wiki/Imperial_Assault_Shuttle
Imperial attack craft,,,No,https://starwars.fandom.com/wiki/Imperial_attack_craft
Imperial Boarding Pod,,,No,https://starwars.fandom.com/wiki/Imperial_Boarding_Pod
Imperial cargo ship,Cargo ship,,No,https://starwars.fandom.com/wiki/Imperial_cargo_ship
Imperial Cargo Shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/Imperial_Cargo_Shuttle
Imperial convoy ship,Cargo ship,,No,https://starwars.fandom.com/wiki/Imperial_convoy_ship
Imperial Customs Corvette,Corvette,,No,https://starwars.fandom.com/wiki/Imperial_Customs_Corvette
Imperial Customs Frigate,Frigate,,No,https://starwars.fandom.com/wiki/Imperial_Customs_Frigate
Imperial Drill Pod Boarding Craft,,,No,https://starwars.fandom.com/wiki/Imperial_Drill_Pod_Boarding_Craft
Imperial Dropship,DropshipEGO,,No,https://starwars.fandom.com/wiki/Imperial_Dropship
Imperial Dropship/Legends,Dropship,,No,https://starwars.fandom.com/wiki/Imperial_Dropship/Legends
Imperial escort carrier,Carrier,,No,https://starwars.fandom.com/wiki/Imperial_escort_carrier
Imperial escort carrier (storm commando),Escort carrier,,No,https://starwars.fandom.com/wiki/Imperial_escort_carrier_(storm_commando)
Imperial Exploratory Division craft,Scout vessel,,No,https://starwars.fandom.com/wiki/Imperial_Exploratory_Division_craft
Imperial extermination ship,Dungeon ship,,No,https://starwars.fandom.com/wiki/Imperial_extermination_ship
Imperial Gozanti-class cruiser,Armored freighter Cruiser / transport Light cruiser,200000,Yes,https://starwars.fandom.com/wiki/Imperial_Gozanti-class_cruiser
Imperial heavy freighter,Heavy freighter,,No,https://starwars.fandom.com/wiki/Imperial_heavy_freighter
Imperial Heavy Transport,,,No,https://starwars.fandom.com/wiki/Imperial_Heavy_Transport
Imperial I-class Star Destroyer,Star Destroyer,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer
Imperial I-class Star Destroyer/Legends,Star Destroyer,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer/Legends
Imperial II-class frigate,Frigate,,No,https://starwars.fandom.com/wiki/Imperial_II-class_frigate
Imperial II-class Star Destroyer,Star Destroyer,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer
Imperial II-class Star Destroyer/Legends,Star Destroyer,145670000,Yes,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer/Legends
Imperial launch,,,No,https://starwars.fandom.com/wiki/Imperial_launch
Imperial Leviathan,Automated Factory,,No,https://starwars.fandom.com/wiki/Imperial_Leviathan
Imperial loader shuttle,Transport,,No,https://starwars.fandom.com/wiki/Imperial_loader_shuttle
Imperial Masticator,To construct large battle stations,,No,https://starwars.fandom.com/wiki/Imperial_Masticator
Imperial Patrol Frigate,Frigate,,No,https://starwars.fandom.com/wiki/Imperial_Patrol_Frigate
Imperial Patrol Ship,Modified bulk freighter,,No,https://starwars.fandom.com/wiki/Imperial_Patrol_Ship
Imperial Planetary Occupation Facility,Headquarters,,No,https://starwars.fandom.com/wiki/Imperial_Planetary_Occupation_Facility
Imperial prison barge,Prison barge,,No,https://starwars.fandom.com/wiki/Imperial_prison_barge
Imperial Prison Transport,Transport,,No,https://starwars.fandom.com/wiki/Imperial_Prison_Transport
Imperial Research Ship,Cruiser,,No,https://starwars.fandom.com/wiki/Imperial_Research_Ship
Imperial research transport,Science vessel Transport,,No,https://starwars.fandom.com/wiki/Imperial_research_transport
Imperial scan cruiser,Cruiser,,No,https://starwars.fandom.com/wiki/Imperial_scan_cruiser
Imperial sentry ship,Sentry ship,,No,https://starwars.fandom.com/wiki/Imperial_sentry_ship
Imperial Star Destroyer Cymoon 1 Refit,Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperial_Star_Destroyer_Cymoon_1_Refit
Imperial state ship,,,No,https://starwars.fandom.com/wiki/Imperial_state_ship
Imperial super hauler,,,No,https://starwars.fandom.com/wiki/Imperial_super_hauler
Imperial Supply Freighter,,,No,https://starwars.fandom.com/wiki/Imperial_Supply_Freighter
Imperial tanker,Tanker,,No,https://starwars.fandom.com/wiki/Imperial_tanker
Imperial Transport,Transport,,No,https://starwars.fandom.com/wiki/Imperial_Transport
Imperial Troop Drop Pod,Orbit-to-surface deployment pod,,No,https://starwars.fandom.com/wiki/Imperial_Troop_Drop_Pod
Imperial troop transport,Transport,,No,https://starwars.fandom.com/wiki/Imperial_troop_transport
Imperial-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperial-class_Star_Destroyer
Imperial-class Star Destroyer/Legends,Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperial-class_Star_Destroyer/Legends
Interdictor-class heavy cruiser,Heavy cruiser-classed Star Destroyer,15400000,Yes,https://starwars.fandom.com/wiki/Interdictor-class_heavy_cruiser
Interdictor-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Interdictor-class_Star_Destroyer
Interdictor-class Star Destroyer/Legends,Star Destroyer,175000000,Yes,https://starwars.fandom.com/wiki/Interdictor-class_Star_Destroyer/Legends
Invincible-class Dreadnaught Heavy Cruiser,Heavy cruiser,,No,https://starwars.fandom.com/wiki/Invincible-class_Dreadnaught_Heavy_Cruiser
Iota-class TS-485 light shuttle,Transport,,No,https://starwars.fandom.com/wiki/Iota-class_TS-485_light_shuttle
IPV-1 System Patrol Craft,Inter-system patrol / customs craft,4000000,Yes,https://starwars.fandom.com/wiki/IPV-1_System_Patrol_Craft
IPV/4 patrol ship,,,No,https://starwars.fandom.com/wiki/IPV/4_patrol_ship
IR-3F-class light frigate,Frigatehosts of Dathomir,,No,https://starwars.fandom.com/wiki/IR-3F-class_light_frigate
IR-3F-class light frigate/Legends,Light frigate,2500000,Yes,https://starwars.fandom.com/wiki/IR-3F-class_light_frigate/Legends
ISB operations ship,Imperial Security Bureau operations,,No,https://starwars.fandom.com/wiki/ISB_operations_ship
ISB TAC shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/ISB_TAC_shuttle
ISP-6 Imperial Shuttle Pod,Shuttle pod,15000,Yes,https://starwars.fandom.com/wiki/ISP-6_Imperial_Shuttle_Pod
Kappa-class shuttle,Shuttle,110000,Yes,https://starwars.fandom.com/wiki/Kappa-class_shuttle
Katarn-class boarding shuttle,Boarding shuttle,100000,Yes,https://starwars.fandom.com/wiki/Katarn-class_boarding_shuttle
LAAT/le patrol gunship,Gunship,62000,Yes,https://starwars.fandom.com/wiki/LAAT/le_patrol_gunship
Lambda-class T-4a shuttle,Multi-purpose transport,140000,Yes,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle
Lambda-class T-4a shuttle/Legends,Armed government transport shuttle,240000,Yes,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle/Legends
Lancer-class frigate,Frigateefore the Awakening,,No,https://starwars.fandom.com/wiki/Lancer-class_frigate
Lancer-class frigate/Legends,Frigate,4760000,Yes,https://starwars.fandom.com/wiki/Lancer-class_frigate/Legends
Lianna-class corvette,Corvette,,No,https://starwars.fandom.com/wiki/Lianna-class_corvette
Lictor-class dungeon ship,Dungeon ship,7800000,Yes,https://starwars.fandom.com/wiki/Lictor-class_dungeon_ship
Liftwing carrier,,,No,https://starwars.fandom.com/wiki/Liftwing_carrier
LightStealth-18 Reconnaissance Ship,Starfighter,,No,https://starwars.fandom.com/wiki/LightStealth-18_Reconnaissance_Ship
Lone Scout A-2,Scouting,,No,https://starwars.fandom.com/wiki/Lone_Scout_A-2
Lone Scout-A,Scouting,125000,Yes,https://starwars.fandom.com/wiki/Lone_Scout-A
Low Altitude Assault Transport/carrier,Low Altitude Assault Transport / carrier,175000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier
Low Altitude Assault Transport/carrier/Legends,Repulsorlift gunship,58000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier/Legends
Low Altitude Assault Transport/infantry,Gunship Transport Starfighter,85000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry
Low Altitude Assault Transport/infantry/Legends,Gunship,,No,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry/Legends
Lucrehulk-class battleship/Legends,Battleship,,No,https://starwars.fandom.com/wiki/Lucrehulk-class_battleship/Legends
M-Class Imperial Attack Transport,Transport,,No,https://starwars.fandom.com/wiki/M-Class_Imperial_Attack_Transport
M3-A Scyk interceptor,Interceptor,55000,Yes,https://starwars.fandom.com/wiki/M3-A_Scyk_interceptor
Maelstrom-class battle cruiser,Battlecruiser,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser
Maelstrom-class battle cruiser/Legends,Battlecruiser,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser/Legends
Maintenance Carrier,,,No,https://starwars.fandom.com/wiki/Maintenance_Carrier
Mandator III-class dreadnought,Dreadnaught,,No,https://starwars.fandom.com/wiki/Mandator_III-class_dreadnought
Mandator-class Dreadnaught,Dreadnought,,No,https://starwars.fandom.com/wiki/Mandator-class_Dreadnaught
Marauder-class Assault Corvette/Legends,Corvette,,No,https://starwars.fandom.com/wiki/Marauder-class_Assault_Corvette/Legends
Max-7 Rono box freighter,Box freighter,,No,https://starwars.fandom.com/wiki/Max-7_Rono_box_freighter
MC80A Home One Type Heavy Star Cruiser,Heavy Star Cruiser,112000000,Yes,https://starwars.fandom.com/wiki/MC80A_Home_One_Type_Heavy_Star_Cruiser
MedStar-class frigate/Legends,Medical frigate,4875000,Yes,https://starwars.fandom.com/wiki/MedStar-class_frigate/Legends
Missile Boat,Starfighter,,No,https://starwars.fandom.com/wiki/Missile_Boat
Mobile repair base,Mobile repair base,,No,https://starwars.fandom.com/wiki/Mobile_repair_base
MRX-BR Pacifier,Scout vessel,170000,Yes,https://starwars.fandom.com/wiki/MRX-BR_Pacifier
MT/191 drop-ship,Special-purpose shuttle and troop transport,,No,https://starwars.fandom.com/wiki/MT/191_drop-ship
Mu-class shuttle (Model 1),Transport,,No,https://starwars.fandom.com/wiki/Mu-class_shuttle_(Model_1)
Mu-2 long range shuttle,Mu-class shuttle,,No,https://starwars.fandom.com/wiki/Mu-2_long_range_shuttle
Mu-3 Shuttle,Shuttle,,No,https://starwars.fandom.com/wiki/Mu-3_Shuttle
Mu-class shuttle/Legends,,,No,https://starwars.fandom.com/wiki/Mu-class_shuttle/Legends
Multi-Altitude Assault Transport,Gunship,,No,https://starwars.fandom.com/wiki/Multi-Altitude_Assault_Transport
Munifex-class light cruiser,Cruiser,,No,https://starwars.fandom.com/wiki/Munifex-class_light_cruiser
Nebulon-B2 frigate,Frigate,,No,https://starwars.fandom.com/wiki/Nebulon-B2_frigate
Neutron Star-class bulk cruiser carrier conversion,Bulk cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser_carrier_conversion
Neutron Star-class bulk cruiser/Legends,Bulk cruiser,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser/Legends
Nu-class attack shuttle/Legends,Shuttle,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack_shuttle/Legends
Nu-class attack/transport shuttle,Attack shuttle Multi-purpose transport,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack/transport_shuttle
Omega-class freighter,Freighter,,No,https://starwars.fandom.com/wiki/Omega-class_freighter
Onager-class Star Destroyer,Cruiser-classed Star Destroyer Superweapon,376500000,Yes,https://starwars.fandom.com/wiki/Onager-class_Star_Destroyer
Ore carrier/Legends,Carrier,,No,https://starwars.fandom.com/wiki/Ore_carrier/Legends
"""Out System"" Scout Vessel",Scout vessel,,No,"https://starwars.fandom.com/wiki/""Out_System""_Scout_Vessel"
Patrol barge,,,No,https://starwars.fandom.com/wiki/Patrol_barge
PB-950 patrol boat,Light corvette,150000,Yes,https://starwars.fandom.com/wiki/PB-950_patrol_boat
Peacekeeper (starship),,,No,https://starwars.fandom.com/wiki/Peacekeeper_(starship)
Pelta-class frigate/Legends,Multi-purpose Medical frigate Cargo frigate,,No,https://starwars.fandom.com/wiki/Pelta-class_frigate/Legends
Pelta-class Medical Frigate,Frigate,,No,https://starwars.fandom.com/wiki/Pelta-class_Medical_Frigate
Praetor II-class ship,Starship,,No,https://starwars.fandom.com/wiki/Praetor_II-class_ship
Praetor Mark II-class battlecruiser,Battlecruiser,700000000,Yes,https://starwars.fandom.com/wiki/Praetor_Mark_II-class_battlecruiser
Praetor-class Star Battlecruiser/Legends,Battlecruiser,,No,https://starwars.fandom.com/wiki/Praetor-class_Star_Battlecruiser/Legends
Predator I,Hyperdrive pod,,No,https://starwars.fandom.com/wiki/Predator_I
Probe-Mate hyperspace pod,Hyperdrive pod,22500,Yes,https://starwars.fandom.com/wiki/Probe-Mate_hyperspace_pod
Procursator-class Star Destroyer,Star Destroyer,,No,https://starwars.fandom.com/wiki/Procursator-class_Star_Destroyer
Purgatory-class prison ship,Prison ship,,No,https://starwars.fandom.com/wiki/Purgatory-class_prison_ship
