name,cost,class,url
Star Galleon-class frigate,17503500,Frigate,https://starwars.fandom.com/wiki/Star_Galleon-class_frigate
Strike-class medium cruiser,17000000,Medium cruiser,https://starwars.fandom.com/wiki/Strike-class_medium_cruiser
Super Transport XI,35000000,Container shiphe,https://starwars.fandom.com/wiki/Super_Transport_XI
Surveyor-class reconnaissance frigate,9600000,Frigate,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate
Surveyor-class reconnaissance frigate/Legends,9600000,Frigate,https://starwars.fandom.com/wiki/Surveyor-class_reconnaissance_frigate/Legends
Tartan-class patrol cruiser,4200000,Patrol cruiser,https://starwars.fandom.com/wiki/Tartan-class_patrol_cruiser
TIE Advanced x1,160000,Starfighter,https://starwars.fandom.com/wiki/TIE_Advanced_x1
TIE boarding craft,150000,Transport Shuttle,https://starwars.fandom.com/wiki/TIE_boarding_craft
TIE/ad starfighter,400000,Starfighter,https://starwars.fandom.com/wiki/TIE/ad_starfighter
"TIE/ag ""Aggressor"" Starfighter",75000,Medium strike starfighter,https://starwars.fandom.com/wiki/TIE/ag_%22Aggressor%22_Starfighter
"TIE/ag ""Aggressor"" Starfighter/Legends",75000,Hybrid starfighter / bomber,https://starwars.fandom.com/wiki/TIE/ag_%22Aggressor%22_Starfighter/Legends
"TIE/ca ""Punisher"" Starfighter",253000,Starfighter,https://starwars.fandom.com/wiki/TIE/ca_%22Punisher%22_Starfighter
TIE/ca Punisher/Legends,253000,Starfighter,https://starwars.fandom.com/wiki/TIE/ca_Punisher/Legends
"TIE/d ""Defender"" Multi-Role Starfighter",300000,Starfighter,https://starwars.fandom.com/wiki/TIE/d_%22Defender%22_Multi-Role_Starfighter
"TIE/d ""Defender"" Multi-Role Starfighter/Legends",300000,Starfighter,https://starwars.fandom.com/wiki/TIE/d_%22Defender%22_Multi-Role_Starfighter/Legends
TIE/D Defender Elite,310000,Starfighter,https://starwars.fandom.com/wiki/TIE/D_Defender_Elite
"TIE/hu ""Hunter"" Multi-Role Starfighter",100000,Multi-role Starfighter,https://starwars.fandom.com/wiki/TIE/hu_%22Hunter%22_Multi-Role_Starfighter
TIE/IN interceptor,120000,Starfighter,https://starwars.fandom.com/wiki/TIE/IN_interceptor
TIE/IN interceptor/Legends,75000,Starfighter,https://starwars.fandom.com/wiki/TIE/IN_interceptor/Legends
TIE/ln space superiority starfighter,60000,Starfighter,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter
TIE/ln space superiority starfighter/Legends,60000,Starfighter,https://starwars.fandom.com/wiki/TIE/ln_space_superiority_starfighter/Legends
TIE/mg Mining Guild starfighter,40000,Modified TIE / ln space superiority starfighter,https://starwars.fandom.com/wiki/TIE/mg_Mining_Guild_starfighter
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter",365000,Stealth starfighter,https://starwars.fandom.com/wiki/TIE/ph_%22Phantom%22_Multi-Role_Stealth_Starfighter
"TIE/ph ""Phantom"" Multi-Role Stealth Starfighter/Legends",365000,Starfighter,https://starwars.fandom.com/wiki/TIE/ph_%22Phantom%22_Multi-Role_Stealth_Starfighter/Legends
TIE/rb heavy starfighter,90000,Starfighter,https://starwars.fandom.com/wiki/TIE/rb_heavy_starfighter
TIE/rp Reaper attack lander,140000,Dropship Troop carrier,https://starwars.fandom.com/wiki/TIE/rp_Reaper_attack_lander
TIE/sa tactical bomber,150000,Light bomber,https://starwars.fandom.com/wiki/TIE/sa_tactical_bomber
TIE/sh shuttle,150000,Shuttle,https://starwars.fandom.com/wiki/TIE/sh_shuttle
TIE/sh VIP shuttle,120000,Priority personnel shuttle,https://starwars.fandom.com/wiki/TIE/sh_VIP_shuttle
TIE/sk x1 experimental air superiority fighter,50000,Atmospheric fighter,https://starwars.fandom.com/wiki/TIE/sk_x1_experimental_air_superiority_fighter
TIE/sr starfighter,148000,Starfighter,https://starwars.fandom.com/wiki/TIE/sr_starfighter
Ton-Falk-class escort carrier,3500000,Heavy carrier,https://starwars.fandom.com/wiki/Ton-Falk-class_escort_carrier
Torpedo Sphere/Legends,327830000,Dedicated siege platform,https://starwars.fandom.com/wiki/Torpedo_Sphere/Legends
Tribune-class shuttle,150000,Shuttle,https://starwars.fandom.com/wiki/Tribune-class_shuttle
V-19 Torrent starfighter,75000,Starfighter,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter
V-19 Torrent starfighter/Legends,135000,Starfighter,https://starwars.fandom.com/wiki/V-19_Torrent_starfighter/Legends
Venator-class Star Destroyer/Legends,59000000,Star Destroyer,https://starwars.fandom.com/wiki/Venator-class_Star_Destroyer/Legends
Vibre-class assault cruiser,2259000,Assault cruiser,https://starwars.fandom.com/wiki/Vibre-class_assault_cruiser
Victory I-class Star Destroyer/Legends,57000000,Star Destroyer,https://starwars.fandom.com/wiki/Victory_I-class_Star_Destroyer/Legends
Victory II-class Star Destroyer,50000000,Star Destroyer,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer
Victory II-class Star Destroyer/Legends,50000000,Star Destroyer,https://starwars.fandom.com/wiki/Victory_II-class_Star_Destroyer/Legends
Vigil-class corvette,3500000,Corvette,https://starwars.fandom.com/wiki/Vigil-class_corvette
Vindicator-class heavy cruiser/Legends,10400000,Heavy cruiser,https://starwars.fandom.com/wiki/Vindicator-class_heavy_cruiser/Legends
VT-49 Decimator,160000,Raiding vessel Starfighter,https://starwars.fandom.com/wiki/VT-49_Decimator
VT-49 Decimator/Legends,160000,Assault ship,https://starwars.fandom.com/wiki/VT-49_Decimator/Legends
X-26 StarHaul,400000,Space barge,https://starwars.fandom.com/wiki/X-26_StarHaul
Xiytiar-class heavy transport/Legends,800000,Transport,https://starwars.fandom.com/wiki/Xiytiar-class_heavy_transport/Legends
Y-4 Transport,250000,Military Transport,https://starwars.fandom.com/wiki/Y-4_Transport
Zeta-class Heavy Cargo Shuttle,95000,Cargo shuttle,https://starwars.fandom.com/wiki/Zeta-class_Heavy_Cargo_Shuttle
Executor,1143350000,Super Star Destroyer,https://starwars.fandom.com/wiki/Executor
Stormtrooper,15000,Personnel,https://starwars.fandom.com/wiki/Stormtrooper
Imperial Army Trooper,5000,Personnel,https://starwars.fandom.com/wiki/Imperial_Army_trooper
DX-9 Stormtrooper Transport,160000,Assault shuttle,https://starwars.fandom.com/wiki/Delta-class_DX-9_stormtrooper_transport
Repulsorcraft,40000,Repulsorlift Vehicle,
Heavy Repulsor Tank,50000,Repulsorlift Tank,https://starwars.fandom.com/wiki/Imperial-class_1-H_repulsortank/Legends
ISB Agents,150000,Personnel,https://starwars.fandom.com/wiki/Imperial_Security_Bureau
Death Trooper,100000,Personnel,https://starwars.fandom.com/wiki/Death_trooper
AT AT,150,Walker,https://starwars.fandom.com/wiki/All_Terrain_Armored_Transport
AT ST,75000,Walker,https://starwars.fandom.com/wiki/All_Terrain_Scout_Transport
K79-S80 Imperial Troop Transport,70000,Repulsorlift Vehicle,https://starwars.fandom.com/wiki/K79-S80_Imperial_Troop_Transport
74-Z speeder bike,0,Repulsorlift Vehicle,https://starwars.fandom.com/wiki/74-Z_speeder_bike
PX-4 Mobile Command Base,300000,Ground Vehicle,https://starwars.fandom.com/wiki/PX-4_Mobile_Command_Base
IGV-55,1000000,Surveillance Vessel,https://starwars.fandom.com/wiki/IGV-55_surveillance_vessel
Viper probe droid,12500,Droid,https://starwars.fandom.com/wiki/Viper_probe_droid/Legends
