ship,cost,has_cost,url
Imperial Assault Shuttle,,No,https://starwars.fandom.com/wiki/Imperial_Assault_Shuttle
Imperial attack craft,,No,https://starwars.fandom.com/wiki/Imperial_attack_craft
Imperial Boarding Pod,,No,https://starwars.fandom.com/wiki/Imperial_Boarding_Pod
Imperial cargo ship,,Yes,https://starwars.fandom.com/wiki/Imperial_cargo_ship
Imperial Cargo Shuttle,,No,https://starwars.fandom.com/wiki/Imperial_Cargo_Shuttle
Imperial convoy ship,,No,https://starwars.fandom.com/wiki/Imperial_convoy_ship
Imperial Customs Corvette,,Yes,https://starwars.fandom.com/wiki/Imperial_Customs_Corvette
Imperial Customs Frigate,,No,https://starwars.fandom.com/wiki/Imperial_Customs_Frigate
Imperial Drill Pod Boarding Craft,,No,https://starwars.fandom.com/wiki/Imperial_Drill_Pod_Boarding_Craft
Imperial Dropship,,No,https://starwars.fandom.com/wiki/Imperial_Dropship
Imperial Dropship/Legends,,No,https://starwars.fandom.com/wiki/Imperial_Dropship/Legends
Imperial escort carrier,,No,https://starwars.fandom.com/wiki/Imperial_escort_carrier
Imperial escort carrier (storm commando),,No,https://starwars.fandom.com/wiki/Imperial_escort_carrier_(storm_commando)
Imperial Exploratory Division craft,,No,https://starwars.fandom.com/wiki/Imperial_Exploratory_Division_craft
Imperial extermination ship,,No,https://starwars.fandom.com/wiki/Imperial_extermination_ship
Imperial Gozanti-class cruiser,200000,Yes,https://starwars.fandom.com/wiki/Imperial_Gozanti-class_cruiser
Imperial heavy freighter,,No,https://starwars.fandom.com/wiki/Imperial_heavy_freighter
Imperial Heavy Transport,,No,https://starwars.fandom.com/wiki/Imperial_Heavy_Transport
Imperial I-class Star Destroyer,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer
Imperial I-class Star Destroyer/Legends,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_I-class_Star_Destroyer/Legends
Imperial II-class frigate,,Yes,https://starwars.fandom.com/wiki/Imperial_II-class_frigate
Imperial II-class Star Destroyer,150000000,Yes,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer
Imperial II-class Star Destroyer/Legends,145670000,Yes,https://starwars.fandom.com/wiki/Imperial_II-class_Star_Destroyer/Legends
Imperial launch,,No,https://starwars.fandom.com/wiki/Imperial_launch
Imperial Leviathan,,No,https://starwars.fandom.com/wiki/Imperial_Leviathan
Imperial loader shuttle,,No,https://starwars.fandom.com/wiki/Imperial_loader_shuttle
Imperial Masticator,,No,https://starwars.fandom.com/wiki/Imperial_Masticator
Imperial Patrol Frigate,,No,https://starwars.fandom.com/wiki/Imperial_Patrol_Frigate
Imperial Patrol Ship,,No,https://starwars.fandom.com/wiki/Imperial_Patrol_Ship
Imperial Planetary Occupation Facility,,No,https://starwars.fandom.com/wiki/Imperial_Planetary_Occupation_Facility
Imperial prison barge,,No,https://starwars.fandom.com/wiki/Imperial_prison_barge
Imperial Prison Transport,,No,https://starwars.fandom.com/wiki/Imperial_Prison_Transport
Imperial Research Ship,,No,https://starwars.fandom.com/wiki/Imperial_Research_Ship
Imperial research transport,,No,https://starwars.fandom.com/wiki/Imperial_research_transport
Imperial scan cruiser,,No,https://starwars.fandom.com/wiki/Imperial_scan_cruiser
Imperial sentry ship,,No,https://starwars.fandom.com/wiki/Imperial_sentry_ship
Imperial Star Destroyer Cymoon 1 Refit,,No,https://starwars.fandom.com/wiki/Imperial_Star_Destroyer_Cymoon_1_Refit
Imperial state ship,,No,https://starwars.fandom.com/wiki/Imperial_state_ship
Imperial super hauler,,No,https://starwars.fandom.com/wiki/Imperial_super_hauler
Imperial Supply Freighter,,No,https://starwars.fandom.com/wiki/Imperial_Supply_Freighter
Imperial tanker,,No,https://starwars.fandom.com/wiki/Imperial_tanker
Imperial Transport,,No,https://starwars.fandom.com/wiki/Imperial_Transport
Imperial Troop Drop Pod,,No,https://starwars.fandom.com/wiki/Imperial_Troop_Drop_Pod
Imperial troop transport,,No,https://starwars.fandom.com/wiki/Imperial_troop_transport
Imperial-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Imperial-class_Star_Destroyer
Imperial-class Star Destroyer/Legends,,No,https://starwars.fandom.com/wiki/Imperial-class_Star_Destroyer/Legends
Interdictor-class heavy cruiser,15400000,Yes,https://starwars.fandom.com/wiki/Interdictor-class_heavy_cruiser
Interdictor-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Interdictor-class_Star_Destroyer
Interdictor-class Star Destroyer/Legends,175000000,Yes,https://starwars.fandom.com/wiki/Interdictor-class_Star_Destroyer/Legends
Invincible-class Dreadnaught Heavy Cruiser,,No,https://starwars.fandom.com/wiki/Invincible-class_Dreadnaught_Heavy_Cruiser
Iota-class TS-485 light shuttle,,No,https://starwars.fandom.com/wiki/Iota-class_TS-485_light_shuttle
IPV-1 System Patrol Craft,4000000,Yes,https://starwars.fandom.com/wiki/IPV-1_System_Patrol_Craft
IPV/4 patrol ship,,No,https://starwars.fandom.com/wiki/IPV/4_patrol_ship
IR-3F-class light frigate,,No,https://starwars.fandom.com/wiki/IR-3F-class_light_frigate
IR-3F-class light frigate/Legends,2500000,Yes,https://starwars.fandom.com/wiki/IR-3F-class_light_frigate/Legends
ISB operations ship,,No,https://starwars.fandom.com/wiki/ISB_operations_ship
ISB TAC shuttle,,No,https://starwars.fandom.com/wiki/ISB_TAC_shuttle
ISP-6 Imperial Shuttle Pod,15000,Yes,https://starwars.fandom.com/wiki/ISP-6_Imperial_Shuttle_Pod
Kappa-class shuttle,110000,Yes,https://starwars.fandom.com/wiki/Kappa-class_shuttle
Katarn-class boarding shuttle,100000,Yes,https://starwars.fandom.com/wiki/Katarn-class_boarding_shuttle
LAAT/le patrol gunship,62000,Yes,https://starwars.fandom.com/wiki/LAAT/le_patrol_gunship
Lambda-class T-4a shuttle,140000,Yes,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle
Lambda-class T-4a shuttle/Legends,240000,Yes,https://starwars.fandom.com/wiki/Lambda-class_T-4a_shuttle/Legends
Lancer-class frigate,,Yes,https://starwars.fandom.com/wiki/Lancer-class_frigate
Lancer-class frigate/Legends,4760000,Yes,https://starwars.fandom.com/wiki/Lancer-class_frigate/Legends
Lianna-class corvette,,No,https://starwars.fandom.com/wiki/Lianna-class_corvette
Lictor-class dungeon ship,7800000,Yes,https://starwars.fandom.com/wiki/Lictor-class_dungeon_ship
Liftwing carrier,,No,https://starwars.fandom.com/wiki/Liftwing_carrier
LightStealth-18 Reconnaissance Ship,,No,https://starwars.fandom.com/wiki/LightStealth-18_Reconnaissance_Ship
Lone Scout A-2,,No,https://starwars.fandom.com/wiki/Lone_Scout_A-2
Lone Scout-A,125000,Yes,https://starwars.fandom.com/wiki/Lone_Scout-A
Low Altitude Assault Transport/carrier,175000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier
Low Altitude Assault Transport/carrier/Legends,58000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/carrier/Legends
Low Altitude Assault Transport/infantry,85000,Yes,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry
Low Altitude Assault Transport/infantry/Legends,,No,https://starwars.fandom.com/wiki/Low_Altitude_Assault_Transport/infantry/Legends
Lucrehulk-class battleship/Legends,,Yes,https://starwars.fandom.com/wiki/Lucrehulk-class_battleship/Legends
M-Class Imperial Attack Transport,,No,https://starwars.fandom.com/wiki/M-Class_Imperial_Attack_Transport
M3-A Scyk interceptor,55000,Yes,https://starwars.fandom.com/wiki/M3-A_Scyk_interceptor
Maelstrom-class battle cruiser,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser
Maelstrom-class battle cruiser/Legends,158000000,Yes,https://starwars.fandom.com/wiki/Maelstrom-class_battle_cruiser/Legends
Maintenance Carrier,,No,https://starwars.fandom.com/wiki/Maintenance_Carrier
Mandator III-class dreadnought,,No,https://starwars.fandom.com/wiki/Mandator_III-class_dreadnought
Mandator-class Dreadnaught,,No,https://starwars.fandom.com/wiki/Mandator-class_Dreadnaught
Marauder-class Assault Corvette/Legends,,No,https://starwars.fandom.com/wiki/Marauder-class_Assault_Corvette/Legends
Max-7 Rono box freighter,,No,https://starwars.fandom.com/wiki/Max-7_Rono_box_freighter
MC80A Home One Type Heavy Star Cruiser,112000000,Yes,https://starwars.fandom.com/wiki/MC80A_Home_One_Type_Heavy_Star_Cruiser
MedStar-class frigate/Legends,4875000,Yes,https://starwars.fandom.com/wiki/MedStar-class_frigate/Legends
Missile Boat,,Yes,https://starwars.fandom.com/wiki/Missile_Boat
Mobile repair base,,No,https://starwars.fandom.com/wiki/Mobile_repair_base
MRX-BR Pacifier,170000,Yes,https://starwars.fandom.com/wiki/MRX-BR_Pacifier
MT/191 drop-ship,,No,https://starwars.fandom.com/wiki/MT/191_drop-ship
Mu-class shuttle (Model 1),,No,https://starwars.fandom.com/wiki/Mu-class_shuttle_(Model_1)
Mu-2 long range shuttle,,No,https://starwars.fandom.com/wiki/Mu-2_long_range_shuttle
Mu-3 Shuttle,,No,https://starwars.fandom.com/wiki/Mu-3_Shuttle
Mu-class shuttle/Legends,,No,https://starwars.fandom.com/wiki/Mu-class_shuttle/Legends
Multi-Altitude Assault Transport,,No,https://starwars.fandom.com/wiki/Multi-Altitude_Assault_Transport
Munifex-class light cruiser,,No,https://starwars.fandom.com/wiki/Munifex-class_light_cruiser
Nebulon-B2 frigate,,No,https://starwars.fandom.com/wiki/Nebulon-B2_frigate
Neutron Star-class bulk cruiser carrier conversion,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser_carrier_conversion
Neutron Star-class bulk cruiser/Legends,5000000,Yes,https://starwars.fandom.com/wiki/Neutron_Star-class_bulk_cruiser/Legends
Nu-class attack shuttle/Legends,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack_shuttle/Legends
Nu-class attack/transport shuttle,85000,Yes,https://starwars.fandom.com/wiki/Nu-class_attack/transport_shuttle
Omega-class freighter,,No,https://starwars.fandom.com/wiki/Omega-class_freighter
Onager-class Star Destroyer,376500000,Yes,https://starwars.fandom.com/wiki/Onager-class_Star_Destroyer
Ore carrier/Legends,,No,https://starwars.fandom.com/wiki/Ore_carrier/Legends
"""Out System"" Scout Vessel",,No,"https://starwars.fandom.com/wiki/""Out_System""_Scout_Vessel"
Patrol barge,,No,https://starwars.fandom.com/wiki/Patrol_barge
PB-950 patrol boat,150000,Yes,https://starwars.fandom.com/wiki/PB-950_patrol_boat
Peacekeeper (starship),,No,https://starwars.fandom.com/wiki/Peacekeeper_(starship)
Pelta-class frigate/Legends,,Yes,https://starwars.fandom.com/wiki/Pelta-class_frigate/Legends
Pelta-class Medical Frigate,,No,https://starwars.fandom.com/wiki/Pelta-class_Medical_Frigate
Praetor II-class ship,,No,https://starwars.fandom.com/wiki/Praetor_II-class_ship
Praetor Mark II-class battlecruiser,700000000,Yes,https://starwars.fandom.com/wiki/Praetor_Mark_II-class_battlecruiser
Praetor-class Star Battlecruiser/Legends,,No,https://starwars.fandom.com/wiki/Praetor-class_Star_Battlecruiser/Legends
Predator I,,No,https://starwars.fandom.com/wiki/Predator_I
Probe-Mate hyperspace pod,22500,Yes,https://starwars.fandom.com/wiki/Probe-Mate_hyperspace_pod
Procursator-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Procursator-class_Star_Destroyer
Purgatory-class prison ship,,Yes,https://starwars.fandom.com/wiki/Purgatory-class_prison_ship
Pursuit-class light cruiser,,No,https://starwars.fandom.com/wiki/Pursuit-class_light_cruiser
Qaz-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Qaz-class_Star_Destroyer
Quasar Fire I-class Cruiser-Carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_I-class_Cruiser-Carrier
Quasar Fire II-class Cruiser-Carrier,,No,https://starwars.fandom.com/wiki/Quasar_Fire_II-class_Cruiser-Carrier
Quasar Fire-class cruiser-carrier,1750000,Yes,https://starwars.fandom.com/wiki/Quasar_Fire-class_cruiser-carrier
Raider I-class corvette,3000000,Yes,https://starwars.fandom.com/wiki/Raider_I-class_corvette
Raider I-class corvette/Legends,,No,https://starwars.fandom.com/wiki/Raider_I-class_corvette/Legends
Raider II-class corvette,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette
Raider II-class corvette/Legends,,No,https://starwars.fandom.com/wiki/Raider_II-class_corvette/Legends
Raider-class corvette,,No,https://starwars.fandom.com/wiki/Raider-class_corvette
Raider-class corvette/Legends,3000000,Yes,https://starwars.fandom.com/wiki/Raider-class_corvette/Legends
Razor-class frigate,,No,https://starwars.fandom.com/wiki/Razor-class_frigate
Repair barge,,No,https://starwars.fandom.com/wiki/Repair_barge
Rho-class shuttle (Transorb),,No,https://starwars.fandom.com/wiki/Rho-class_shuttle_(Transorb)
Rho-class transport shuttle,,No,https://starwars.fandom.com/wiki/Rho-class_transport_shuttle
S-46I Medium Scout Ship,524000,Yes,https://starwars.fandom.com/wiki/S-46I_Medium_Scout_Ship
Scimitar assault bomber,120000,Yes,https://starwars.fandom.com/wiki/Scimitar_assault_bomber
Scimitar Mark II,,No,https://starwars.fandom.com/wiki/Scimitar_Mark_II
Scout ship (TIE model),,No,https://starwars.fandom.com/wiki/Scout_ship_(TIE_model)
Secutor-class Star Destroyer,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer
Secutor-class Star Destroyer/Legends,200000000,Yes,https://starwars.fandom.com/wiki/Secutor-class_Star_Destroyer/Legends
Sentinel-class landing craft,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft
Sentinel-class landing craft/Legends,240000,Yes,https://starwars.fandom.com/wiki/Sentinel-class_landing_craft/Legends
Shadow Droid,,Yes,https://starwars.fandom.com/wiki/Shadow_Droid
Shell-cracker prototype,,No,https://starwars.fandom.com/wiki/Shell-cracker_prototype
Siege platform/Legends,,No,https://starwars.fandom.com/wiki/Siege_platform/Legends
Skim fighter,,No,https://starwars.fandom.com/wiki/Skim_fighter
Skywatcher-class deep space scout ship,120000,Yes,https://starwars.fandom.com/wiki/Skywatcher-class_deep_space_scout_ship
Snoopship,,No,https://starwars.fandom.com/wiki/Snoopship
Sorannan-class Star Destroyer,,No,https://starwars.fandom.com/wiki/Sorannan-class_Star_Destroyer
Sovereign-class Super Star Destroyer,2500000000,Yes,https://starwars.fandom.com/wiki/Sovereign-class_Super_Star_Destroyer
Spiral-class Assault Ship,,No,https://starwars.fandom.com/wiki/Spiral-class_Assault_Ship
SS-39 Space Skiff,12500,Yes,https://starwars.fandom.com/wiki/SS-39_Space_Skiff
Star Galleon-class frigate,17503500,Yes,https://starwars.fandom.com/wiki/Star_Galleon-class_frigate
Starcutter/Legends,,No,https://starwars.fandom.com/wiki/Starcutter/Legends
STC003 Starcrasher,,No,https://starwars.fandom.com/wiki/STC003_Starcrasher
